Number,Level,Vocabulary,Wordclass,Guide
1,3급,가꾸다,동사,정원을 가꾸다
2,3급,가난,명사,가난을 겪다
3,3급,가능,명사,주차 가능
4,3급,가득하다,형용사,물이 가득하다
5,3급,가득히,부사,가득히 넣다
6,3급,가렵다,형용사,몸이 가렵다
7,3급,가로01/가로02,명사/부사,가로와 세로
8,3급,가루,명사,가루로 만들다
9,3급,가리다02,동사,얼굴을 가리다
10,3급,가스,명사,가스 요금
11,3급,가스레인지,명사,가스레인지를 켜다
12,3급,가습기,명사,가습기를 켜다
13,3급,가입,명사,회원 가입
14,3급,가입자,명사,신규 가입자
15,3급,가전제품,명사,가전제품을 구매하다
16,3급,가정01,명사,가정을 이루다
17,3급,가죽,명사,가죽 잠바
18,3급,각01,관형사,각 개인
19,3급,각자01/각자02,명사/부사,각자가 맡다
20,3급,간01,명사,간을 보다
21,3급,간판,명사,간판을 걸다
22,3급,간호,명사,간호를 받다
23,3급,갈다01,동사,전구를 갈다
24,3급,갈증,명사,갈증이 나다
25,3급,-감,접사,책임감
26,3급,감각,명사,감각이 없다
27,3급,감다03,동사,붕대를 감다
28,3급,감독,명사,감독을 강화하다
29,3급,감동,명사,감동을 받다
30,3급,감동적01/감동적02,관형사/명사,감동적 이야기
31,3급,감상03,명사,음악 감상
32,3급,감정01,명사,감정이 풍부하다
33,3급,강물,명사,강물이 흐르다
34,3급,강사02,명사,시간 강사
35,3급,개나리,명사,개나리가 피다
36,3급,개다01,동사,날씨가 개다
37,3급,개인,명사,개인의 자유
38,3급,개인적01/개인적02,관형사/명사,개인적 감정
39,3급,걔,줄어든꼴,그 아이
40,3급,거꾸로,부사,거꾸로 뒤집히다
41,3급,거스름돈,명사,거스름돈을 받다
42,3급,거품,명사,거품이 나다
43,3급,건널목,명사,건널목을 건너다
44,3급,건조02,명사,건조 기후
45,3급,걸레,명사,걸레로 닦다
46,3급,검다,형용사,색깔이 검다
47,3급,검색,명사,인터넷 검색
48,3급,검토,명사,서류 검토
49,3급,겁,명사,겁이 많다
50,3급,겉옷,명사,겉옷을 벗다
51,3급,게시,명사,안내문 게시
52,3급,게시판,명사,게시판에 붙이다
53,3급,겨우,부사,겨우 몇 개
54,3급,결국02/결국01,명사/부사,결국 해내다
55,3급,결제,명사,카드 결제
56,3급,경기장,명사,실내 경기장
57,3급,경복궁,명사,경복궁에 가다
58,3급,경비01,명사,여행 경비
59,3급,경비실,명사,아파트 경비실
60,3급,경우,명사,그런 경우
61,3급,경제,명사,경제 개발
62,3급,경제적01/경제적02,관형사/명사,경제적 능력
63,3급,경찰관,명사,교통 경찰관
64,3급,곁01,명사,곁에 있다
65,3급,계곡,명사,계곡에서 놀다
66,3급,계약,명사,계약을 맺다
67,3급,계약금,명사,계약금을 받다
68,3급,계좌,명사,계좌 번호
69,3급,고객,명사,고객을 맞다
70,3급,고구마,명사,고구마를 먹다
71,3급,고궁,명사,고궁을 산책하다
72,3급,고백,명사,사랑 고백
73,3급,고생,명사,고생이 심하다
74,3급,고속,명사,고속 도로
75,3급,고추,명사,고추를 따다
76,3급,고춧가루,명사,고춧가루를 뿌리다
77,3급,곤란,명사,곤란한 질문
78,3급,곧이어,부사,곧이어 시작하다
79,3급,곧장,부사,곧장 가다
80,3급,골고루,부사,골고루 먹다
81,3급,골목,명사,좁은 골목
82,3급,골목길,명사,골목길을 걷다
83,3급,골프,명사,골프 선수
84,3급,곰,명사,동물
85,3급,곱다01,형용사,고운 얼굴
86,3급,곱하다,동사,수를 곱하다
87,3급,곳곳,명사,전국 곳곳
88,3급,공03,명사,숫자
89,3급,공간,명사,공간을 차지하다
90,3급,공공,명사,공공 기관
91,3급,공공장소,명사,공공장소를 이용하다
92,3급,공과금,명사,공과금을 내다
93,3급,공기02,명사,공기가 맑다
94,3급,공동,명사,공동 개최
95,3급,공사01,명사,신축 공사
96,3급,공식,명사,공식 발표
97,3급,공연,명사,공연을 보다
98,3급,공연장,명사,공연장에 몰려들다
99,3급,공주,명사,공주와 왕자
100,3급,공중전화,명사,공중전화 박스
101,3급,공통,명사,공통 화제
102,3급,공통점,명사,공통점을 찾다
103,3급,공포02,명사,공포를 느끼다
104,3급,과02,명사,과를 옮기다
105,3급,과로,명사,과로로 쓰러지다
106,3급,과목,명사,시험 과목
107,3급,과식,명사,과식 습관
108,3급,과장02,명사,과장이 심하다
